2025-06-19 20:46:17 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:17 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:17 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:17 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:17 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:17 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:17 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:17 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:17 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:18 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:18 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - 20:46:19 >>> Controle administrativo/Login de usuário True
2025-06-19 20:46:19 - C:\Users\use\Desktop\vjbots-robot-fjfrigo\resources\logger - INFO - >>> Verificando se existe janela de atualização
